task,item_id,condition,exemplar,correct,incorrect,human_prop_correct,prefix,question,model_input,layer_idx,entropy_first_token,rank_correct_first_token,logits_correct,logits_deltas_correct,rank_incorrect_first_token,logits_incorrect,logits_deltas_incorrect,mean_logprob_correct,mean_logprob_incorrect,mean_logprob_response,mean_logprob_response_isCorrect,sum_logprob_correct,sum_logprob_incorrect,sum_logprob_response,sum_logprob_response_isCorrect,first_logprob_correct,first_logprob_incorrect,first_logprob_response,first_logprob_response_isCorrect,control_entropy_first_token,control_rank_correct_first_token,control_logits_correct,control_logits_deltas_correct,control_rank_incorrect_first_token,control_logits_incorrect,control_logits_deltas_incorrect,control_mean_logprob_correct,control_mean_logprob_incorrect,control_mean_logprob_response,control_mean_logprob_response_isCorrect,control_sum_logprob_correct,control_sum_logprob_incorrect,control_sum_logprob_response,control_sum_logprob_response_isCorrect,control_first_logprob_correct,control_first_logprob_incorrect,control_first_logprob_response,control_first_logprob_response_isCorrect,control_model_input
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,0,9.304995,5137,[-0.3483709990978241],[-0.44226598739624023],18930,"[-2.02297043800354, 7.1850199699401855]","[-3.460557222366333, 4.026115894317627]",-10.10759,-8.395069,incorrect,False,-10.10759,-16.790138,correct,True,-10.10759,-11.78219,correct,True,10.140594,16893,[-0.5357381701469421],[-0.8465924859046936],26241,"[-1.0983788967132568, 8.008758544921875]","[-3.742443561553955, 3.925565004348755]",-11.007825,-7.7146206,incorrect,False,-11.007825,-15.429241,correct,True,-11.007825,-11.570466,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,1,9.414282,4205,[-0.38615676760673523],[0.21166962385177612],25209,"[-2.713369846343994, 6.931737422943115]","[-0.7039692401885986, 5.483676433563232]",-9.924786,-8.392108,incorrect,False,-9.924786,-16.784216,correct,True,-9.924786,-12.251999,correct,True,10.008906,11500,[-0.6636510491371155],[-1.3830169439315796],33480,"[-2.1883697509765625, 7.412813663482666]","[-2.0604403018951416, 5.436042308807373]",-10.68717,-8.005839,incorrect,False,-10.68717,-16.011679,correct,True,-10.68717,-12.211889,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,2,9.4655695,3836,[-0.2306055873632431],[-0.280450701713562],21127,"[-2.2614428997039795, 7.239084243774414]","[-3.577012062072754, 6.361447811126709]",-9.828535,-7.875018,incorrect,False,-9.828535,-15.750036,correct,True,-9.828535,-11.859371,correct,True,9.753875,10586,[-0.8567451238632202],[-3.494697093963623],27991,"[-2.254014253616333, 7.510767459869385]","[-3.440176010131836, 8.31294059753418]",-10.724097,-7.7502146,incorrect,False,-10.724097,-15.500429,correct,True,-10.724097,-12.1213665,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,3,9.418218,3752,[-0.2295040488243103],[-0.49631935358047485],23071,"[-2.508396863937378, 7.829823970794678]","[-0.41442012786865234, 6.676772117614746]",-9.807854,-7.6548142,incorrect,False,-9.807854,-15.3096285,correct,True,-9.807854,-12.086746,correct,True,9.501389,16200,[-1.4283082485198975],[0.34664925932884216],30626,"[-2.627375364303589, 8.382990837097168]","[-0.9907900094985962, 8.789276123046875]",-11.408499,-7.5267916,incorrect,False,-11.408499,-15.053583,correct,True,-11.408499,-12.607567,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,4,9.418514,4255,[-0.22934727370738983],[1.699507713317871],23124,"[-2.43603777885437, 8.649046897888184]","[5.370901584625244, 2.821373462677002]",-9.901106,-7.2945533,incorrect,False,-9.901106,-14.589107,correct,True,-9.901106,-12.107796,correct,True,9.374941,12427,[-1.1132289171218872],[-2.1366472244262695],27107,"[-2.44264554977417, 9.382379531860352]","[-2.131343364715576, 3.7119200229644775]",-11.119609,-7.045029,incorrect,False,-11.119609,-14.090058,correct,True,-11.119609,-12.449026,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,5,9.308302,3971,[0.05840050429105759],[3.3417913913726807],15575,"[-1.604053258895874, 8.716830253601074]","[1.0732176303863525, 2.2314648628234863]",-9.837614,-6.884921,incorrect,False,-9.837614,-13.769842,correct,True,-9.837614,-11.500068,correct,True,8.527493,17416,[-1.4990215301513672],[0.6227972507476807],29479,"[-2.57165265083313, 9.49002742767334]","[-0.10725242644548416, 4.194366455078125]",-12.185127,-7.3314943,incorrect,False,-12.185127,-14.662989,correct,True,-12.185127,-13.257759,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,6,9.143055,2537,[0.612288773059845],[2.41621732711792],12954,"[-1.314841389656067, 8.754569053649902]","[0.19368235766887665, 0.9485117793083191]",-9.419806,-6.7678394,incorrect,False,-9.419806,-13.535679,correct,True,-9.419806,-11.346936,correct,True,9.379108,15184,[-0.9157378077507019],[0.24501697719097137],28975,"[-1.9616113901138306, 9.798331260681152]","[-1.041386365890503, 4.691239356994629]",-11.370527,-6.83516,incorrect,False,-11.370527,-13.67032,correct,True,-11.370527,-12.416401,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,7,9.005594,1889,[1.1047098636627197],[1.5508956909179688],12262,"[-1.1229069232940674, 8.71894359588623]","[2.392739772796631, 1.7907094955444336]",-9.153742,-6.832571,incorrect,False,-9.153742,-13.665142,correct,True,-9.153742,-11.381359,correct,True,10.588497,3521,[-0.052898142486810684],[0.1315542310476303],32337,"[-1.3211475610733032, 10.39040756225586]","[-1.0612918138504028, 2.0194902420043945]",-10.045547,-6.1672125,incorrect,False,-10.045547,-12.334425,correct,True,-10.045547,-11.313796,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,8,8.73667,1795,[1.4633229970932007],[0.5526123642921448],9319,"[-0.5506351590156555, 8.685946464538574]","[-1.9306440353393555, 3.0508499145507812]",-9.125378,-6.7820935,incorrect,False,-9.125378,-13.564187,correct,True,-9.125378,-11.139337,correct,True,10.6649685,1588,[0.050249386578798294],[0.09331826120615005],32520,"[-1.1808298826217651, 10.44067096710205]","[-1.0465621948242188, 0.11835279315710068]",-9.965216,-6.0650477,incorrect,False,-9.965216,-12.1300955,correct,True,-9.965216,-11.196295,correct,True,An
animals,1,Atypical,eel,fish,reptile,0.9537037037,An eel is a type of,What kind of animal is an eel?,An eel is a type of,9,8.67975,1539,[1.6127434968948364],[1.4122610092163086],10220,"[-0.7306693196296692, 8.739194869995117]","[-1.8219221830368042, 7.021025657653809]",-8.996775,-6.801482,incorrect,False,-8.996775,-13.602964,correct,True,-8.996775,-11.340188,correct,True,10.677162,1352,[0.06477675586938858],[0.10525315254926682],32241,"[-1.1378017663955688, 10.191879272460938]","[-1.0810999870300293, 2.4739181995391846]",-9.966116,-6.050804,incorrect,False,-9.966116,-12.101608,correct,True,-9.966116,-11.168695,correct,True,An
